id,age,gender,path
f01484_1,18,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01484_1.png
f01462_1,18,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01462_1.png
f01457_1,28,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01457_1.png
f01414_1,17,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01414_1.png
f01549_1,35,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01549_1.png
f01458_1,43,F,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01458_1.png
f01485_1,32,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01485_1.png
f01416_1,48,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01416_1.png
f01500_1,18,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01500_1.png
f01423_1,14,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01423_1.png
f01415_1,19,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01415_1.png
f01498_1,15,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01498_1.png
f01501_1,20,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01501_1.png
f01382_1,12,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01382_1.png
f01438_1,25,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01438_1.png
f01352_1,48,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01352_1.png
f01461_1,32,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01461_1.png
f01376_1,24,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01376_1.png
f01488_1,16,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01488_1.png
f01454_1,26,F,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01454_1.png
f01518_1,21,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01518_1.png
f01541_1,17,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01541_1.png
f01400_1,22,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01400_1.png
f01426_1,na,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01426_1.png
f01371_1,17,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01371_1.png
f01401_1,40,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01401_1.png
f01482_1,34,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01482_1.png
f01530_1,34,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01530_1.png
f01495_1,20,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01495_1.png
f01374_1,18,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01374_1.png
f01490_1,25,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01490_1.png
f01364_1,43,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01364_1.png
f01456_1,22,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01456_1.png
f01499_1,24,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01499_1.png
f01532_1,24,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01532_1.png
f01479_1,18,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01479_1.png
f01533_1,16,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01533_1.png
f01511_1,36,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01511_1.png
f01434_1,18,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01434_1.png
f01547_1,24,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01547_1.png
f01522_1,22,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01522_1.png
f01349_1,55,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01349_1.png
f01408_1,26,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01408_1.png
f01433_1,22,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01433_1.png
f01481_1,23,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01481_1.png
f01507_1,21,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01507_1.png
f01463_1,28,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01463_1.png
f01387_1,26,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01387_1.png
f01466_1,25,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01466_1.png
f01373_1,31,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01373_1.png
f01405_1,25,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01405_1.png
f01392_1,34,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01392_1.png
f01496_1,20,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01496_1.png
f01402_1,29,F,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01402_1.png
f01370_1,27,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01370_1.png
f01493_1,27,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01493_1.png
f01504_1,19,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01504_1.png
f01431_1,36,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01431_1.png
f01483_1,33,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01483_1.png
f01398_1,18,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01398_1.png
f01509_1,29,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01509_1.png
f01372_1,19,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01372_1.png
f01542_1,31,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01542_1.png
f01544_1,20,F,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01544_1.png
f01520_1,34,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01520_1.png
f01526_1,28,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01526_1.png
f01515_1,42,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01515_1.png
f01442_1,24,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01442_1.png
f01363_1,28,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01363_1.png
f01406_1,20,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01406_1.png
f01388_1,22,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01388_1.png
f01546_1,26,F,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01546_1.png
f01351_1,26,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01351_1.png
f01412_1,18,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01412_1.png
f01367_1,33,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01367_1.png
f01449_1,33,F,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01449_1.png
f01527_1,30,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01527_1.png
f01446_1,28,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01446_1.png
f01444_1,47,F,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01444_1.png
f01407_1,21,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01407_1.png
f01443_1,28,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01443_1.png
f01350_1,21,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01350_1.png
f01419_1,42,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01419_1.png
f01436_1,33,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01436_1.png
f01432_1,17,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01432_1.png
f01492_1,17,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01492_1.png
f01437_1,21,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01437_1.png
f01538_1,37,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01538_1.png
f01429_1,26,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01429_1.png
f01497_1,24,F,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01497_1.png
f01393_1,23,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01393_1.png
f01516_1,28,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01516_1.png
f01505_1,49,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01505_1.png
f01355_1,18,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01355_1.png
f01521_1,19,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01521_1.png
f01445_1,33,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01445_1.png
f01465_1,18,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01465_1.png
f01385_1,18,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01385_1.png
f01353_1,20,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01353_1.png
f01539_1,38,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01539_1.png
f01452_1,31,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01452_1.png
f01447_1,25,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01447_1.png
f01525_1,16,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01525_1.png
f01411_1,48,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01411_1.png
f01540_1,21,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01540_1.png
f01394_1,17,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01394_1.png
f01486_1,32,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01486_1.png
f01548_1,18,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01548_1.png
f01386_1,31,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01386_1.png
f01455_1,37,F,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01455_1.png
f01425_1,51,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01425_1.png
f01473_1,29,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01473_1.png
f01356_1,19,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01356_1.png
f01413_1,39,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01413_1.png
f01512_1,46,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01512_1.png
f01391_1,33,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01391_1.png
f01366_1,25,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01366_1.png
f01404_1,18,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01404_1.png
f01359_1,22,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01359_1.png
f01460_1,24,F,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01460_1.png
f01422_1,19,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01422_1.png
f01424_1,21,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01424_1.png
f01534_1,25,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01534_1.png
f01489_1,26,F,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01489_1.png
f01448_1,21,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01448_1.png
f01536_1,35,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01536_1.png
f01494_1,16,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01494_1.png
f01368_1,26,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01368_1.png
f01453_1,19,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01453_1.png
f01531_1,24,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01531_1.png
f01410_1,23,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01410_1.png
f01474_1,29,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01474_1.png
f01508_1,20,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01508_1.png
f01469_1,17,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01469_1.png
f01477_1,18,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01477_1.png
f01396_1,36,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01396_1.png
f01399_1,34,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01399_1.png
f01524_1,21,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01524_1.png
f01381_1,33,M,C:\Users\Meryem\FaceRecogmodel\frontal_faces2\f01381_1.png
